epoch,lr,train_loss,train_mae,train_rmse,train_under_rate,train_over_rate,train_within_1,test_loss,test_mae,test_rmse,test_rounded_accuracy,test_under_rate,test_over_rate,test_within_1,epoch_time_sec
1,0.0009999975572749199,0.6347395815153917,0.3772604583902291,0.7961732721798446,0.13335483780913368,0.11581728781671977,0.879863859201942,nan,nan,nan,nan,nan,nan,nan,235.12114222347736
2,0.0009999902291237877,0.25881180131435394,0.2685166774484145,0.5083526626373207,0.1048121523289334,0.10397376422394174,0.9237069397663481,nan,nan,nan,nan,nan,nan,nan,131.220325820148
3,0.00099997801561893,0.2312171337902546,0.25235824326733425,0.4805310550367438,0.0984692168108026,0.10115451858595054,0.9319233184645729,nan,nan,nan,nan,nan,nan,nan,76.50349593162537
4,0.000999960916880889,0.21815199026465415,0.2431614352810651,0.46679639754797675,0.09528981338188439,0.09876718919739039,0.93671940282203,nan,nan,nan,nan,nan,nan,nan,70.81296730041504
5,0.000999938933078422,0.21312021841605505,0.23908844374905175,0.4614168400838083,0.09308392899408284,0.09837908420573509,0.938818896070399,nan,nan,nan,nan,nan,nan,nan,72.18585678189993
6,0.0009999120644285004,0.2041982270181179,0.23390973822257624,0.4516784716352271,0.09138189652556516,0.09665472553482021,0.9417863607950235,nan,nan,nan,nan,nan,nan,nan,71.34059897810221
7,0.000999880311196307,0.19796487247943878,0.22953208336178121,0.4447220936537228,0.09017889849795176,0.09467734425732059,0.9443002809892277,nan,nan,nan,nan,nan,nan,nan,72.54764179885387
8,0.0009998436736952333,0.19664503914117812,0.22827442985700197,0.4432351031564179,0.09002642391139433,0.09378991837353967,0.9450446548323471,nan,nan,nan,nan,nan,nan,nan,74.30148054659367
9,0.0009998021522868768,0.1906107900639375,0.22498064176528598,0.4363652749828036,0.0887536640873919,0.09278947898649674,0.9468308420573509,nan,nan,nan,nan,nan,nan,nan,70.97326335310936
10,0.000999755747381037,0.18628603863716126,0.22218126360757093,0.4313721514130427,0.08721079532696101,0.09198117796995904,0.9485725419511455,nan,nan,nan,nan,nan,nan,nan,70.40978949517012
11,0.0009997044594357114,0.1831807166536649,0.21971150206721288,0.42776334218734063,0.08605269974207252,0.09096773296920042,0.9498209230769231,nan,nan,nan,nan,nan,nan,nan,71.22777238488197
12,0.0009996482889570914,0.18083345701297124,0.21816491048399334,0.4250083112635256,0.08576031800940677,0.08995054104081324,0.9507443568502504,nan,nan,nan,nan,nan,nan,nan,74.21844200789928
13,0.000999587236499557,0.17913019461433094,0.21708112858443332,0.42298837706409315,0.08448714307388863,0.09014553664087392,0.9512927956304051,nan,nan,nan,nan,nan,nan,nan,73.66910272091627
14,0.0009995213026656716,0.17602489121754963,0.21501643554657868,0.41930057149653466,0.08315107874374146,0.0895088429676832,0.9524108147473828,nan,nan,nan,nan,nan,nan,nan,71.05487969517708
15,0.000999450488106175,0.1757286408543587,0.21439849083978152,0.41891661242686196,0.08328107904718555,0.08856834349871036,0.952872070399029,nan,nan,nan,nan,nan,nan,nan,70.05679358541965
16,0.0009993747935199786,0.17489074064294496,0.2136292048437263,0.4179377332673326,0.08310823972083144,0.08808268972841754,0.9528915879229252,nan,nan,nan,nan,nan,nan,nan,71.51661344617605
17,0.0009992942196541572,0.1716103646258513,0.2116385638275679,0.41399905134674725,0.08231122196935214,0.0873076801699287,0.9540975378546502,nan,nan,nan,nan,nan,nan,nan,74.59795938432217
18,0.0009992087673039425,0.1704506693780422,0.2105690749696556,0.4125730154157368,0.08100835563647397,0.08717072371415567,0.9544992529206494,nan,nan,nan,nan,nan,nan,nan,71.90785391628742
19,0.0009991184373127147,0.1675630267560482,0.20881577309968138,0.4090707352490362,0.08029714944621454,0.0865539651039296,0.9554394805037172,nan,nan,nan,nan,nan,nan,nan,71.07865703850985
20,0.0009990232305719941,0.16745294889807702,0.20856993665604612,0.40891869336221975,0.07993691275982401,0.0866881869215597,0.9556195454407526,0.15741453051567078,0.2005281545857988,0.3965747849799958,0.8398575876194811,0.06621298133818844,0.09392943104233045,0.9603114792899409,70.8159222304821
21,0.0009989231480214333,0.16495081027348837,0.2063931197561068,0.40586581173194747,0.07884004490972538,0.08602731118191473,0.9566842882718859,nan,nan,nan,nan,nan,nan,nan,70.939483307302
