epoch,lr,train_loss,train_mae,train_rmse,train_under_rate,train_over_rate,train_within_1,test_loss,test_mae,test_rmse,test_rounded_accuracy,test_under_rate,test_over_rate,test_within_1,epoch_time_sec
1,0.0009999975572749199,2.016198724110921,0.8937133729229978,1.418588049151104,0.29085099500049016,0.2202465771329608,0.7174127046368003,nan,nan,nan,nan,nan,nan,nan,5.829255141317844
2,0.0009999902291237877,0.7594534489313761,0.5841724982793762,0.8712731016113218,0.21652602686011174,0.1960804823056563,0.8157576054635166,nan,nan,nan,nan,nan,nan,nan,3.0849835500121117
3,0.00099997801561893,0.6162105451424916,0.5301106240477853,0.7845492837111953,0.2072836323236284,0.18588226644446623,0.8374657386530733,nan,nan,nan,nan,nan,nan,nan,3.21056055277586
4,0.000999960916880889,0.5544972538948059,0.5041181121438257,0.7441927529098378,0.2009094533215698,0.18063268307028724,0.849160245727543,nan,nan,nan,nan,nan,nan,nan,3.3671001568436623
5,0.000999938933078422,0.5148776338895162,0.4859815889424648,0.717155794795466,0.19749544162337027,0.17431170146717642,0.8568564519818318,nan,nan,nan,nan,nan,nan,nan,3.22861211001873
6,0.0009999120644285004,0.48947020626068116,0.4752626451808238,0.6992406950778938,0.191467764598242,0.17515377577361696,0.8622569029180146,nan,nan,nan,nan,nan,nan,nan,2.9961037784814835
7,0.000999880311196307,0.47053908530871075,0.4667632509731481,0.6855664187113286,0.18960575760546353,0.1723577100284286,0.8666275855308303,nan,nan,nan,nan,nan,nan,nan,3.2891829684376717
8,0.0009998436736952333,0.4539226183891296,0.45875171973029605,0.6733607874767467,0.18828631179949679,0.16946090252589616,0.8706603274188806,nan,nan,nan,nan,nan,nan,nan,3.118754245340824
9,0.0009998021522868768,0.4399515961011251,0.4514170378516812,0.6629215292217193,0.18873460118289057,0.1645374963238898,0.874323987844329,nan,nan,nan,nan,nan,nan,nan,2.867448054254055
10,0.000999755747381037,0.43118356426556903,0.44696640456511616,0.6563116271422403,0.18463049374244356,0.16568963827075778,0.8769281116230435,nan,nan,nan,nan,nan,nan,nan,3.0038841739296913
11,0.0009997044594357114,0.42108140436808267,0.44148109675215663,0.6485614769103485,0.18420256184034245,0.16338025683756494,0.8795293271901448,nan,nan,nan,nan,nan,nan,nan,2.9624166786670685
12,0.0009996482889570914,0.41275337791442873,0.43660978300993775,0.6421045062384904,0.1823905826226187,0.16185086429435022,0.8817062706270627,nan,nan,nan,nan,nan,nan,nan,3.22352097928524
13,0.000999587236499557,0.40987665629386905,0.4348630237946443,0.6398807023965905,0.18120573146423552,0.16182704310034965,0.8829151717151913,nan,nan,nan,nan,nan,nan,nan,3.180666007101536
14,0.0009995213026656716,0.40624328176180524,0.43338585741696073,0.6369951448501835,0.18025458288403098,0.16192608567787473,0.8833522530470869,nan,nan,nan,nan,nan,nan,nan,3.079910673201084
15,0.000999450488106175,0.3981681102911631,0.4291556656516518,0.6306962215441001,0.17724389765709245,0.16243100349638925,0.8860364343365029,nan,nan,nan,nan,nan,nan,nan,2.971197247505188
16,0.0009993747935199786,0.39340533725420634,0.4262778170491864,0.6268490486986525,0.17829451360977683,0.15928340358788354,0.8871449204326374,nan,nan,nan,nan,nan,nan,nan,3.032413348555565
17,0.0009992942196541572,0.3904602912267049,0.42500221255881776,0.6244939988635453,0.17907930595039703,0.15814988726595433,0.8880972453681012,nan,nan,nan,nan,nan,nan,nan,3.1284062787890434
18,0.0009992087673039425,0.3869550274213155,0.42319036072852334,0.6217342764449513,0.17788863836878738,0.15863595072378525,0.8887482272979773,nan,nan,nan,nan,nan,nan,nan,2.9905235692858696
19,0.0009991184373127147,0.38332725381851196,0.4211686309604042,0.618777490999836,0.17672649740221547,0.15816452635362546,0.889922295199817,nan,nan,nan,nan,nan,nan,nan,3.176763206720352
20,0.0009990232305719941,0.3800145218372345,0.4188657008453011,0.616069764002471,0.17683779368035812,0.15600375780152273,0.8911849165114532,nan,nan,nan,nan,nan,nan,nan,3.0687727630138397
